#    L    TT             EE             TE          
   490    0.35429E+02    0.13708E+00   -0.98967E+00
   491    0.35579E+02    0.13512E+00   -0.98042E+00
   492    0.35726E+02    0.13321E+00   -0.97076E+00
   493    0.35871E+02    0.13133E+00   -0.96069E+00
   494    0.36015E+02    0.12950E+00   -0.95021E+00
   495    0.36155E+02    0.12770E+00   -0.93932E+00
   496    0.36294E+02    0.12595E+00   -0.92803E+00
   497    0.36431E+02    0.12425E+00   -0.91636E+00
   498    0.36565E+02    0.12259E+00   -0.90431E+00
   499    0.36696E+02    0.12097E+00   -0.89189E+00
   500    0.36825E+02    0.11941E+00   -0.87912E+00
   501    0.36952E+02    0.11789E+00   -0.86600E+00
   502    0.37076E+02    0.11641E+00   -0.85255E+00
   503    0.37198E+02    0.11499E+00   -0.83878E+00
   504    0.37318E+02    0.11362E+00   -0.82469E+00
   505    0.37434E+02    0.11230E+00   -0.81030E+00
